"","Pfam_id","Subject_ID","Num_q_local","aa_length","Pfam_name","HMMER_score","biasq","c_value","i_value","hmmfrom","hmmto","alifrom","alito","envfrom","envto","acc"
"1","PF00285.23","ALA571271",333,606,"Citrate_synthase,_C-terminal_domain","96.8","0.0","2.3e-31","1.5e-27","165","358","398","586","396","587","0.92"
"2","PF00285.23","SLM479721",334,606,"Citrate_synthase,_C-terminal_domain","93.7","0.0","1.9e-30","1.2e-26","165","358","398","586","396","587","0.92"
"3","PF00285.23","CBK406011",335,606,"Citrate_synthase,_C-terminal_domain","93.2","0.0","1.9e-30","1.8e-26","165","358","398","586","395","587","0.91"
"4","PF00285.23","CUQ652031",336,606,"Citrate_synthase,_C-terminal_domain","95.6","0.0","5.1e-31","3.2e-27","165","358","398","586","396","587","0.91"
"5","PF00285.23","SPP635481",337,606,"Citrate_synthase,_C-terminal_domain","91.1","0.0","1.2e-29","7.6e-26","165","358","398","586","395","587","0.91"
"6","PF00285.23","WP0109327661",338,610,"Citrate_synthase,_C-terminal_domain","25.5","0.0","1.4e-09","6.6e-06","9","61","358","408","353","411","0.85"
"7","PF00285.23","MWV542811",339,610,"Citrate_synthase,_C-terminal_domain","27.1","0.0","3.4e-10","2.2e-06","9","61","358","408","353","411","0.85"
"8","PF00285.23","ACD902981",340,610,"Citrate_synthase,_C-terminal_domain","24.8","0.0","2.2e-09","1.1e-05","9","59","358","406","353","410","0.86"
"9","PF00285.23","PWW830971",341,610,"Citrate_synthase,_C-terminal_domain","33.7","0.0","4.5e-12","2.2e-08","9","62","358","409","353","412","0.86"
"10","PF00285.23","ADU969881",342,616,"Citrate_synthase,_C-terminal_domain","78.6","0.0","4.9e-26","4.7e-22","168","351","401","592","394","601","0.83"
"11","PF00285.23","ACO045021",343,616,"Citrate_synthase,_C-terminal_domain","79.0","0.0","5.6e-26","3.6e-22","167","357","400","599","393","602","0.84"
"12","PF00285.23","ADY737711",344,616,"Citrate_synthase,_C-terminal_domain","77.5","0.0","1.1e-25","1.1e-21","168","351","401","592","395","601","0.84"
"13","PF00285.23","ACN986451",345,616,"Citrate_synthase,_C-terminal_domain","74.0","0.0","1.3e-24","1.2e-20","169","357","402","599","395","602","0.83"
"14","PF00285.23","SDC361651",346,619,"Citrate_synthase,_C-terminal_domain","72.8","0.0","2.8e-24","2.7e-20","169","354","401","595","395","600","0.82"
"15","PF00285.23","ABB438501",347,604,"Citrate_synthase,_C-terminal_domain","71.2","0.0","9.1e-24","8.7e-20","145","351","367","580","208","589","0.75"
"16","PF00285.23","SHK188521",362,259,"Citrate_synthase,_C-terminal_domain","24.1","0.1","9.2e-10","1.8e-05","10","60","7","54","3","56","0.84"
"17","PF00285.23","AHE956851",363,259,"Citrate_synthase,_C-terminal_domain","24.1","0.1","9e-10","1.7e-05","10","59","7","53","3","55","0.85"
"18","PF00285.23","ADC900841",364,259,"Citrate_synthase,_C-terminal_domain","22.4","0.1","3e-09","5.8e-05","10","59","7","53","3","55","0.85"
"19","PF00285.23","RLJ705271",365,260,"Citrate_synthase,_C-terminal_domain","23.1","0.1","1.9e-09","3.7e-05","10","60","8","55","2","57","0.84"
"20","PF00285.23","ADO447131",366,259,"Citrate_synthase,_C-terminal_domain","133.1","0.0","6.8e-43","1.3e-38","164","353","46","228","46","235","0.92"
"21","PF00285.23","SNZ117311",367,258,"Citrate_synthase,_C-terminal_domain","22.2","0.1","3.5e-09","6.6e-05","9","58","5","51","1","54","0.84"
"22","PF00285.23","AGH939721",368,257,"Citrate_synthase,_C-terminal_domain","24.0","0.0","1e-09","2e-05","12","58","9","52","3","53","0.86"
"23","PF00285.23","WP0108800391",369,259,"Citrate_synthase,_C-terminal_domain","28.5","0.0","4.2e-11","8.1e-07","9","58","7","53","3","54","0.87"
"24","PF00285.23","ACO047001",370,258,"Citrate_synthase,_C-terminal_domain","129.9","0.0","6.3e-42","1.2e-37","164","354","46","227","46","233","0.93"
"25","PF00285.23","ACN988831",371,255,"Citrate_synthase,_C-terminal_domain","29.5","0.1","2.2e-11","4.2e-07","9","61","6","55","2","56","0.89"
"26","PF00285.23","AKS248391",372,269,"Citrate_synthase,_C-terminal_domain","25.1","0.0","4.8e-10","9.1e-06","14","56","20","58","8","60","0.87"
