"","Pfam_id","Subject_ID","Num_q_local","aa_length","Pfam_name","HMMER_score","biasq","c_value","i_value","hmmfrom","hmmto","alifrom","alito","envfrom","envto","acc"
"1","PF02775.23","ADO454771",214,295,"Thiamine_pyrophosphate_enzyme,_C-terminal_TPP_binding_domain","111.0","0.0","4.7e-36","4.6e-32","3","153","53","199","51","199","0.91"
"2","PF02775.23","SNZ144411",215,295,"Thiamine_pyrophosphate_enzyme,_C-terminal_TPP_binding_domain","109.8","0.0","1.1e-35","1.1e-31","3","153","53","199","51","199","0.91"
"3","PF02775.23","ADC892991",216,291,"Thiamine_pyrophosphate_enzyme,_C-terminal_TPP_binding_domain","104.0","0.0","6.8e-34","6.5e-30","3","153","49","195","47","195","0.89"
"4","PF02775.23","RLJ704041",217,322,"Thiamine_pyrophosphate_enzyme,_C-terminal_TPP_binding_domain","115.1","0.0","2.6e-37","2.5e-33","2","153","57","204","56","204","0.91"
"5","PF02775.23","AGH940271",218,299,"Thiamine_pyrophosphate_enzyme,_C-terminal_TPP_binding_domain","102.1","0.0","2.6e-33","2.5e-29","2","153","53","200","52","200","0.91"
"6","PF02775.23","ACO040371",219,308,"Thiamine_pyrophosphate_enzyme,_C-terminal_TPP_binding_domain","112.7","0.0","1.4e-36","1.4e-32","2","153","56","203","55","203","0.94"
"7","PF02775.23","ABK442581",220,292,"Thiamine_pyrophosphate_enzyme,_C-terminal_TPP_binding_domain","95.8","0.5","2.4e-31","2.3e-27","2","153","58","205","57","205","0.92"
"8","PF02775.23","CCC820831",221,302,"Thiamine_pyrophosphate_enzyme,_C-terminal_TPP_binding_domain","119.0","0.2","1.7e-38","1.6e-34","2","153","56","203","55","203","0.96"
"9","PF02775.23","ACB390871",222,307,"Thiamine_pyrophosphate_enzyme,_C-terminal_TPP_binding_domain","97.3","0.1","7.8e-32","7.5e-28","2","153","49","196","48","196","0.93"
"10","PF02775.23","MBA13321441",223,274,"Thiamine_pyrophosphate_enzyme,_C-terminal_TPP_binding_domain","112.6","0.1","8e-37","1.5e-32","2","153","52","200","44","200","0.94"
"11","PF02775.23","WP0113905321",224,276,"Thiamine_pyrophosphate_enzyme,_C-terminal_TPP_binding_domain","105.8","0.0","9.4e-35","1.8e-30","2","153","55","203","54","203","0.92"
"12","PF02775.23","KAA02594931",225,283,"Thiamine_pyrophosphate_enzyme,_C-terminal_TPP_binding_domain","107.0","0.3","8.2e-35","7.8e-31","2","153","47","194","46","194","0.93"
"13","PF02775.23","BAJ514851",226,322,"Thiamine_pyrophosphate_enzyme,_C-terminal_TPP_binding_domain","105.2","0.1","3e-34","2.8e-30","2","153","51","198","50","198","0.96"
"14","PF02775.23","ADU973421",227,267,"Thiamine_pyrophosphate_enzyme,_C-terminal_TPP_binding_domain","87.1","0.0","1.1e-28","1e-24","2","153","51","198","50","198","0.92"
"15","PF02775.23","CCC823781",228,315,"Thiamine_pyrophosphate_enzyme,_C-terminal_TPP_binding_domain","97.2","0.0","8.8e-32","8.5e-28","2","153","57","204","56","204","0.92"
"16","PF02775.23","WP0109318561",229,342,"Thiamine_pyrophosphate_enzyme,_C-terminal_TPP_binding_domain","109.1","0.1","9.5e-36","1.8e-31","2","153","54","201","53","201","0.95"
"17","PF02775.23","QBH140081",230,284,"Thiamine_pyrophosphate_enzyme,_C-terminal_TPP_binding_domain","96.8","0.2","1.2e-31","1.1e-27","16","153","52","195","46","195","0.94"
"18","PF02775.23","WP1119532591",231,284,"Thiamine_pyrophosphate_enzyme,_C-terminal_TPP_binding_domain","96.8","0.2","1.2e-31","1.1e-27","16","153","52","195","46","195","0.94"
