"","Pfam_id","Subject_ID","Num_q_local","aa_length","Pfam_name","HMMER_score","biasq","c_value","i_value","hmmfrom","hmmto","alifrom","alito","envfrom","envto","acc"
"1","PF00285.23","lclALA571271",938,606,"Citrate_synthase,_C-terminal_domain","96.8","0.0","2.3e-31","1.5e-27","165","358","398","586","396","587","0.92"
"2","PF00285.23","lclSLM479721",939,606,"Citrate_synthase,_C-terminal_domain","93.7","0.0","1.9e-30","1.2e-26","165","358","398","586","396","587","0.92"
"3","PF00285.23","lclCBK406011",940,606,"Citrate_synthase,_C-terminal_domain","93.2","0.0","1.9e-30","1.8e-26","165","358","398","586","395","587","0.91"
"4","PF00285.23","lclCUQ652031",941,606,"Citrate_synthase,_C-terminal_domain","95.6","0.0","5.1e-31","3.2e-27","165","358","398","586","396","587","0.91"
"5","PF00285.23","lclSPP635481",942,606,"Citrate_synthase,_C-terminal_domain","91.1","0.0","1.2e-29","7.6e-26","165","358","398","586","395","587","0.91"
"6","PF00285.23","lclWP0109327661",943,610,"Citrate_synthase,_C-terminal_domain","25.5","0.0","1.4e-09","6.6e-06","9","61","358","408","353","411","0.85"
"7","PF00285.23","lclMWV542811",944,610,"Citrate_synthase,_C-terminal_domain","27.1","0.0","3.4e-10","2.2e-06","9","61","358","408","353","411","0.85"
"8","PF00285.23","lclACD902981",945,610,"Citrate_synthase,_C-terminal_domain","24.8","0.0","2.2e-09","1.1e-05","9","59","358","406","353","410","0.86"
"9","PF00285.23","lclPWW830971",946,610,"Citrate_synthase,_C-terminal_domain","33.7","0.0","4.5e-12","2.2e-08","9","62","358","409","353","412","0.86"
"10","PF00285.23","lclADU969881",947,616,"Citrate_synthase,_C-terminal_domain","78.6","0.0","4.9e-26","4.7e-22","168","351","401","592","394","601","0.83"
"11","PF00285.23","lclACO045021",948,616,"Citrate_synthase,_C-terminal_domain","79.0","0.0","5.6e-26","3.6e-22","167","357","400","599","393","602","0.84"
"12","PF00285.23","lclADY737711",949,616,"Citrate_synthase,_C-terminal_domain","77.5","0.0","1.1e-25","1.1e-21","168","351","401","592","395","601","0.84"
"13","PF00285.23","lclACN986451",950,616,"Citrate_synthase,_C-terminal_domain","74.0","0.0","1.3e-24","1.2e-20","169","357","402","599","395","602","0.83"
"14","PF00285.23","lclSDC361651",951,619,"Citrate_synthase,_C-terminal_domain","72.8","0.0","2.8e-24","2.7e-20","169","354","401","595","395","600","0.82"
"15","PF00285.23","lclABB438501",952,604,"Citrate_synthase,_C-terminal_domain","71.2","0.0","9.1e-24","8.7e-20","145","351","367","580","208","589","0.75"
"16","PF00285.23","lclAHE956851",1017,259,"Citrate_synthase,_C-terminal_domain","24.1","0.1","9e-10","1.7e-05","10","59","7","53","3","55","0.85"
"17","PF00285.23","lclSHK188521",1019,259,"Citrate_synthase,_C-terminal_domain","24.1","0.1","9.2e-10","1.8e-05","10","60","7","54","3","56","0.84"
"18","PF00285.23","lclADC900841",1020,259,"Citrate_synthase,_C-terminal_domain","22.4","0.1","3e-09","5.8e-05","10","59","7","53","3","55","0.85"
"19","PF00285.23","lclSNZ117311",1021,258,"Citrate_synthase,_C-terminal_domain","22.2","0.1","3.5e-09","6.6e-05","9","58","5","51","1","54","0.84"
"20","PF00285.23","lclADO447131",1022,259,"Citrate_synthase,_C-terminal_domain","133.1","0.0","6.8e-43","1.3e-38","164","353","46","228","46","235","0.92"
"21","PF00285.23","lclAGH939721",1023,257,"Citrate_synthase,_C-terminal_domain","24.0","0.0","1e-09","2e-05","12","58","9","52","3","53","0.86"
"22","PF00285.23","lclWP0108800391",1024,259,"Citrate_synthase,_C-terminal_domain","28.5","0.0","4.2e-11","8.1e-07","9","58","7","53","3","54","0.87"
"23","PF00285.23","lclRLJ705271",1025,260,"Citrate_synthase,_C-terminal_domain","23.1","0.1","1.9e-09","3.7e-05","10","60","8","55","2","57","0.84"
"24","PF00285.23","lclACN988831",1026,255,"Citrate_synthase,_C-terminal_domain","29.5","0.1","2.2e-11","4.2e-07","9","61","6","55","2","56","0.89"
"25","PF00285.23","lclACO047001",1027,258,"Citrate_synthase,_C-terminal_domain","129.9","0.0","6.3e-42","1.2e-37","164","354","46","227","46","233","0.93"
"26","PF00285.23","lclAKS248391",1028,269,"Citrate_synthase,_C-terminal_domain","25.1","0.0","4.8e-10","9.1e-06","14","56","20","58","8","60","0.87"
"27","PF00285.23","lclABB305511",1029,909,"Citrate_synthase,_C-terminal_domain","24.2","0.0","2.6e-09","1.7e-05","148","347","652","886","638","896","0.77"
"28","PF00285.23","lclACL624531",1031,277,"Citrate_synthase,_C-terminal_domain","26.8","0.0","1.4e-10","2.6e-06","14","56","21","62","11","64","0.81"
"29","PF00285.23","lclACL565161",1034,430,"Citrate_synthase,_C-terminal_domain","451.1","0.0","1.4e-139","2.8e-135","1","360","46","412","46","412","0.96"
"30","PF00285.23","lclABK461231",1035,916,"Citrate_synthase,_C-terminal_domain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","PF00285.23","lclACD910711",1036,447,"Citrate_synthase,_C-terminal_domain","446.0","0.0","5.2e-138","9.9e-134","1","360","53","415","53","415","0.95"
"32","PF00285.23","lclMWV546041",1037,447,"Citrate_synthase,_C-terminal_domain","440.4","0.0","2.6e-136","5.1e-132","1","360","53","415","53","415","0.95"
"33","PF00285.23","lclWP0113894751",1038,433,"Citrate_synthase,_C-terminal_domain","435.9","0.0","6.3e-135","1.2e-130","1","360","50","416","50","416","0.95"
"34","PF00285.23","lclWP0109334941",1039,447,"Citrate_synthase,_C-terminal_domain","442.1","0.0","8.1e-137","1.6e-132","4","360","56","415","53","415","0.94"
"35","PF00285.23","lclCAR548291",1040,433,"Citrate_synthase,_C-terminal_domain","444.7","0.0","1.3e-137","2.5e-133","1","360","50","416","50","416","0.95"
"36","PF00285.23","lclPWW826671",1042,444,"Citrate_synthase,_C-terminal_domain","438.1","0.0","1.3e-135","2.5e-131","1","360","49","411","49","411","0.94"
"37","PF00285.23","lclACO034761",1043,375,"Citrate_synthase,_C-terminal_domain","425.6","0.0","8.4e-132","1.6e-127","1","360","6","358","6","358","0.96"
"38","PF00285.23","lclABK434161",1044,433,"Citrate_synthase,_C-terminal_domain","427.1","0.0","2.9e-132","5.5e-128","1","360","48","415","48","415","0.95"
"39","PF00285.23","lclAGA889561",1046,431,"Citrate_synthase,_C-terminal_domain","451.6","0.0","1.1e-139","2e-135","1","360","48","414","48","414","0.95"
"40","PF00285.23","lclACN993151",1047,375,"Citrate_synthase,_C-terminal_domain","395.6","0.0","1.1e-122","2.1e-118","1","360","6","358","6","358","0.95"
"41","PF00285.23","lclBAJ514981",1048,380,"Citrate_synthase,_C-terminal_domain","428.8","0.0","8.7e-133","1.7e-128","1","360","11","363","11","363","0.97"
"42","PF00285.23","lclABB453741",1049,426,"Citrate_synthase,_C-terminal_domain","414.4","0.0","2.1e-128","4e-124","1","360","48","413","48","413","0.94"
"43","PF00285.23","lclSLM495981",1050,378,"Citrate_synthase,_C-terminal_domain","428.3","0.0","1.3e-132","2.5e-128","1","359","8","359","8","360","0.96"
"44","PF00285.23","lclCCC821421",1051,410,"Citrate_synthase,_C-terminal_domain","420.1","0.0","3.9e-130","7.5e-126","1","360","25","392","25","392","0.97"
"45","PF00285.23","lclCCC811631",1052,374,"Citrate_synthase,_C-terminal_domain","396.0","0.0","8.5e-123","1.6e-118","1","360","6","356","6","356","0.96"
"46","PF00285.23","lclALA585071",1053,377,"Citrate_synthase,_C-terminal_domain","431.8","0.0","1.1e-133","2.2e-129","1","359","8","359","8","360","0.97"
"47","PF00285.23","lclCUQ659091",1054,386,"Citrate_synthase,_C-terminal_domain","411.7","0.1","1.4e-127","2.7e-123","1","360","14","368","14","368","0.95"
"48","PF00285.23","lclOSS412371",1055,434,"Citrate_synthase,_C-terminal_domain","302.4","0.0","2.4e-94","4.6e-90","1","360","42","419","42","419","0.92"
"49","PF00285.23","lclCUQ672951",1056,377,"Citrate_synthase,_C-terminal_domain","438.7","0.0","8.7e-136","1.7e-131","1","359","8","359","8","360","0.97"
"50","PF00285.23","lclSHK188521",1144,259,"Citrate_synthase,_C-terminal_domain","24.1","0.1","9.2e-10","1.8e-05","10","60","7","54","3","56","0.84"
"51","PF00285.23","lclAHE956851",1145,259,"Citrate_synthase,_C-terminal_domain","24.1","0.1","9e-10","1.7e-05","10","59","7","53","3","55","0.85"
"52","PF00285.23","lclADC900841",1146,259,"Citrate_synthase,_C-terminal_domain","22.4","0.1","3e-09","5.8e-05","10","59","7","53","3","55","0.85"
"53","PF00285.23","lclRLJ705271",1147,260,"Citrate_synthase,_C-terminal_domain","23.1","0.1","1.9e-09","3.7e-05","10","60","8","55","2","57","0.84"
"54","PF00285.23","lclADO447131",1148,259,"Citrate_synthase,_C-terminal_domain","133.1","0.0","6.8e-43","1.3e-38","164","353","46","228","46","235","0.92"
"55","PF00285.23","lclSNZ117311",1149,258,"Citrate_synthase,_C-terminal_domain","22.2","0.1","3.5e-09","6.6e-05","9","58","5","51","1","54","0.84"
"56","PF00285.23","lclAGH939721",1150,257,"Citrate_synthase,_C-terminal_domain","24.0","0.0","1e-09","2e-05","12","58","9","52","3","53","0.86"
"57","PF00285.23","lclWP0108800391",1151,259,"Citrate_synthase,_C-terminal_domain","28.5","0.0","4.2e-11","8.1e-07","9","58","7","53","3","54","0.87"
"58","PF00285.23","lclACO047001",1152,258,"Citrate_synthase,_C-terminal_domain","129.9","0.0","6.3e-42","1.2e-37","164","354","46","227","46","233","0.93"
"59","PF00285.23","lclACN988831",1153,255,"Citrate_synthase,_C-terminal_domain","29.5","0.1","2.2e-11","4.2e-07","9","61","6","55","2","56","0.89"
"60","PF00285.23","lclAKS248391",1154,269,"Citrate_synthase,_C-terminal_domain","25.1","0.0","4.8e-10","9.1e-06","14","56","20","58","8","60","0.87"
"61","PF00285.23","lclACL624531",1155,277,"Citrate_synthase,_C-terminal_domain","26.8","0.0","1.4e-10","2.6e-06","14","56","21","62","11","64","0.81"
"62","PF00285.23","lclCBK406011",1156,606,"Citrate_synthase,_C-terminal_domain","93.2","0.0","1.9e-30","1.8e-26","165","358","398","586","395","587","0.91"
"63","PF00285.23","lclSLM479721",1157,606,"Citrate_synthase,_C-terminal_domain","93.7","0.0","1.9e-30","1.2e-26","165","358","398","586","396","587","0.92"
"64","PF00285.23","lclBAJ514981",1158,380,"Citrate_synthase,_C-terminal_domain","428.8","0.0","8.7e-133","1.7e-128","1","360","11","363","11","363","0.97"
"65","PF00285.23","lclALA571271",1159,606,"Citrate_synthase,_C-terminal_domain","96.8","0.0","2.3e-31","1.5e-27","165","358","398","586","396","587","0.92"
"66","PF00285.23","lclCUQ652031",1160,606,"Citrate_synthase,_C-terminal_domain","95.6","0.0","5.1e-31","3.2e-27","165","358","398","586","396","587","0.91"
"67","PF00285.23","lclSPP635481",1161,606,"Citrate_synthase,_C-terminal_domain","91.1","0.0","1.2e-29","7.6e-26","165","358","398","586","395","587","0.91"
"68","PF00285.23","lclPWW830971",1162,610,"Citrate_synthase,_C-terminal_domain","33.7","0.0","4.5e-12","2.2e-08","9","62","358","409","353","412","0.86"
"69","PF00285.23","lclACO034761",1163,375,"Citrate_synthase,_C-terminal_domain","425.6","0.0","8.4e-132","1.6e-127","1","360","6","358","6","358","0.96"
"70","PF00285.23","lclCCC811631",1164,374,"Citrate_synthase,_C-terminal_domain","396.0","0.0","8.5e-123","1.6e-118","1","360","6","356","6","356","0.96"
"71","PF00285.23","lclACD902981",1165,610,"Citrate_synthase,_C-terminal_domain","24.8","0.0","2.2e-09","1.1e-05","9","59","358","406","353","410","0.86"
"72","PF00285.23","lclACN993151",1166,375,"Citrate_synthase,_C-terminal_domain","395.6","0.0","1.1e-122","2.1e-118","1","360","6","358","6","358","0.95"
"73","PF00285.23","lclACB396521",1167,404,"Citrate_synthase,_C-terminal_domain","422.6","0.0","6.6e-131","1.3e-126","1","360","19","386","19","386","0.96"
"74","PF00285.23","lclACD910711",1168,447,"Citrate_synthase,_C-terminal_domain","446.0","0.0","5.2e-138","9.9e-134","1","360","53","415","53","415","0.95"
"75","PF00285.23","lclMWV542811",1169,610,"Citrate_synthase,_C-terminal_domain","27.1","0.0","3.4e-10","2.2e-06","9","61","358","408","353","411","0.85"
"76","PF00285.23","lclMWV546041",1170,447,"Citrate_synthase,_C-terminal_domain","440.4","0.0","2.6e-136","5.1e-132","1","360","53","415","53","415","0.95"
"77","PF00285.23","lclWP0109327661",1171,610,"Citrate_synthase,_C-terminal_domain","25.5","0.0","1.4e-09","6.6e-06","9","61","358","408","353","411","0.85"
"78","PF00285.23","lclCCC821421",1172,410,"Citrate_synthase,_C-terminal_domain","420.1","0.0","3.9e-130","7.5e-126","1","360","25","392","25","392","0.97"
