"","Pfam_id","Subject_ID","Num_q_local","aa_length","Pfam_name","HMMER_score","biasq","c_value","i_value","hmmfrom","hmmto","alifrom","alito","envfrom","envto","acc"
"1","PF08442.12","WP0109327671",348,398,"ATP-grasp_domain","97.8","0.1","1e-31","6.6e-28","2","202","4","194","3","194","0.93"
"2","PF08442.12","ACD902991",349,398,"ATP-grasp_domain","94.0","0.0","1.5e-30","9.4e-27","2","202","4","194","3","194","0.92"
"3","PF08442.12","MWV542801",350,398,"ATP-grasp_domain","100.2","0.1","2.5e-32","1.2e-28","2","202","4","194","3","194","0.93"
"4","PF08442.12","PWW830961",351,398,"ATP-grasp_domain","94.9","0.2","1.1e-30","5.1e-27","2","202","4","194","3","194","0.92"
"5","PF08442.12","ALA571261",352,398,"ATP-grasp_domain","77.1","0.1","1.5e-25","1.5e-21","8","201","10","193","3","194","0.93"
"6","PF08442.12","CUQ652041",353,399,"ATP-grasp_domain","73.5","0.5","2.8e-24","1.8e-20","8","201","10","193","3","194","0.93"
"7","PF08442.12","SLM479711",354,398,"ATP-grasp_domain","77.0","0.5","1.5e-25","1.5e-21","8","201","10","193","3","194","0.92"
"8","PF08442.12","SPP635491",355,399,"ATP-grasp_domain","72.2","0.4","4.6e-24","4.5e-20","8","201","10","193","3","194","0.92"
"9","PF08442.12","CBK406001",356,399,"ATP-grasp_domain","74.0","0.1","1.4e-24","1.3e-20","8","201","10","193","3","194","0.92"
"10","PF08442.12","ADY737721",357,433,"ATP-grasp_domain","45.0","0.0","1e-15","9.8e-12","28","201","43","214","6","215","0.78"
"11","PF08442.12","ACO038291",358,436,"ATP-grasp_domain","39.9","0.0","3.7e-14","3.5e-10","34","201","49","214","28","215","0.79"
"12","PF08442.12","ADU969891",359,433,"ATP-grasp_domain","37.1","0.0","2.7e-13","2.6e-09","37","201","52","214","6","215","0.79"
"13","PF08442.12","SDC361301",360,446,"ATP-grasp_domain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","PF08442.12","ACN982791",361,435,"ATP-grasp_domain","33.2","0.0","4.3e-12","4.1e-08","27","201","42","214","26","215","0.79"
"15","PF08442.12","SNZ141911",373,429,"ATP-grasp_domain","137.0","0.0","6.8e-44","6.5e-40","1","201","2","195","2","196","0.94"
"16","PF08442.12","ADC888361",374,432,"ATP-grasp_domain","138.8","0.0","2.8e-44","1.8e-40","1","201","2","195","2","196","0.93"
"17","PF08442.12","SHK149421",375,433,"ATP-grasp_domain","138.8","0.0","2.8e-44","1.8e-40","1","201","2","195","2","196","0.93"
"18","PF08442.12","AHE963911",376,429,"ATP-grasp_domain","131.5","0.0","3.3e-42","3.2e-38","1","201","2","195","2","196","0.93"
"19","PF08442.12","ADO461001",377,429,"ATP-grasp_domain","133.3","0.0","8.8e-43","8.4e-39","1","201","2","195","2","196","0.93"
