"","Pfam_id","Subject_ID","Num_q_local","aa_length","Pfam_name","HMMER_score","biasq","c_value","i_value","hmmfrom","hmmto","alifrom","alito","envfrom","envto","acc"
"1","PF00285.23","ALA571271",333,606,"Citrate_synthase,_C-terminal_domain","96.8","0.0","2.3e-31","1.5e-27","165","358","398","586","396","587","0.92"
"2","PF00285.23","SLM479721",334,606,"Citrate_synthase,_C-terminal_domain","93.7","0.0","1.9e-30","1.2e-26","165","358","398","586","396","587","0.92"
"3","PF00285.23","CBK406011",335,606,"Citrate_synthase,_C-terminal_domain","93.2","0.0","1.9e-30","1.8e-26","165","358","398","586","395","587","0.91"
"4","PF00285.23","CUQ652031",336,606,"Citrate_synthase,_C-terminal_domain","95.6","0.0","5.1e-31","3.2e-27","165","358","398","586","396","587","0.91"
"5","PF00285.23","SPP635481",337,606,"Citrate_synthase,_C-terminal_domain","91.1","0.0","1.2e-29","7.6e-26","165","358","398","586","395","587","0.91"
"6","PF00285.23","WP0109327661",338,610,"Citrate_synthase,_C-terminal_domain","25.5","0.0","1.4e-09","6.6e-06","9","61","358","408","353","411","0.85"
"7","PF00285.23","MWV542811",339,610,"Citrate_synthase,_C-terminal_domain","27.1","0.0","3.4e-10","2.2e-06","9","61","358","408","353","411","0.85"
"8","PF00285.23","ACD902981",340,610,"Citrate_synthase,_C-terminal_domain","24.8","0.0","2.2e-09","1.1e-05","9","59","358","406","353","410","0.86"
"9","PF00285.23","PWW830971",341,610,"Citrate_synthase,_C-terminal_domain","33.7","0.0","4.5e-12","2.2e-08","9","62","358","409","353","412","0.86"
"10","PF00285.23","ADU969881",342,616,"Citrate_synthase,_C-terminal_domain","78.6","0.0","4.9e-26","4.7e-22","168","351","401","592","394","601","0.83"
"11","PF00285.23","ACO045021",343,616,"Citrate_synthase,_C-terminal_domain","79.0","0.0","5.6e-26","3.6e-22","167","357","400","599","393","602","0.84"
"12","PF00285.23","ADY737711",344,616,"Citrate_synthase,_C-terminal_domain","77.5","0.0","1.1e-25","1.1e-21","168","351","401","592","395","601","0.84"
"13","PF00285.23","ACN986451",345,616,"Citrate_synthase,_C-terminal_domain","74.0","0.0","1.3e-24","1.2e-20","169","357","402","599","395","602","0.83"
"14","PF00285.23","SDC361651",346,619,"Citrate_synthase,_C-terminal_domain","72.8","0.0","2.8e-24","2.7e-20","169","354","401","595","395","600","0.82"
"15","PF00285.23","ABB438501",347,604,"Citrate_synthase,_C-terminal_domain","71.2","0.0","9.1e-24","8.7e-20","145","351","367","580","208","589","0.75"
"16","PF00285.23","SHK188521",362,259,"Citrate_synthase,_C-terminal_domain","24.1","0.1","9.2e-10","1.8e-05","10","60","7","54","3","56","0.84"
"17","PF00285.23","AHE956851",363,259,"Citrate_synthase,_C-terminal_domain","24.1","0.1","9e-10","1.7e-05","10","59","7","53","3","55","0.85"
"18","PF00285.23","ADC900841",364,259,"Citrate_synthase,_C-terminal_domain","22.4","0.1","3e-09","5.8e-05","10","59","7","53","3","55","0.85"
"19","PF00285.23","RLJ705271",365,260,"Citrate_synthase,_C-terminal_domain","23.1","0.1","1.9e-09","3.7e-05","10","60","8","55","2","57","0.84"
"20","PF00285.23","ADO447131",366,259,"Citrate_synthase,_C-terminal_domain","133.1","0.0","6.8e-43","1.3e-38","164","353","46","228","46","235","0.92"
"21","PF00285.23","SNZ117311",367,258,"Citrate_synthase,_C-terminal_domain","22.2","0.1","3.5e-09","6.6e-05","9","58","5","51","1","54","0.84"
"22","PF00285.23","AGH939721",368,257,"Citrate_synthase,_C-terminal_domain","24.0","0.0","1e-09","2e-05","12","58","9","52","3","53","0.86"
"23","PF00285.23","WP0108800391",369,259,"Citrate_synthase,_C-terminal_domain","28.5","0.0","4.2e-11","8.1e-07","9","58","7","53","3","54","0.87"
"24","PF00285.23","ACO047001",370,258,"Citrate_synthase,_C-terminal_domain","129.9","0.0","6.3e-42","1.2e-37","164","354","46","227","46","233","0.93"
"25","PF00285.23","ACN988831",371,255,"Citrate_synthase,_C-terminal_domain","29.5","0.1","2.2e-11","4.2e-07","9","61","6","55","2","56","0.89"
"26","PF00285.23","AKS248391",372,269,"Citrate_synthase,_C-terminal_domain","25.1","0.0","4.8e-10","9.1e-06","14","56","20","58","8","60","0.87"
"27","PF00549.21","ALA571271",333,606,"CoA-ligase","28.2","0.1","2.3e-10","1.5e-06","3","122","175","266","173","299","0.82"
"28","PF00549.21","SLM479721",334,606,"CoA-ligase","26.5","0.0","8.1e-10","5.2e-06","3","121","175","263","173","298","0.85"
"29","PF00549.21","CBK406011",335,606,"CoA-ligase","30.7","0.0","2.6e-11","2.5e-07","3","126","175","270","173","299","0.83"
"30","PF00549.21","CUQ652031",336,606,"CoA-ligase","29.1","0.1","1.2e-10","7.7e-07","3","126","175","270","173","299","0.80"
"31","PF00549.21","SPP635481",337,606,"CoA-ligase","28.6","0.0","1.7e-10","1.1e-06","3","121","175","263","173","298","0.85"
"32","PF00549.21","WP0109327661",338,610,"CoA-ligase","45.1","0.2","1.9e-15","9.3e-12","2","152","174","298","173","299","0.88"
"33","PF00549.21","MWV542811",339,610,"CoA-ligase","47.2","0.1","3.2e-16","2.1e-12","2","152","174","298","173","299","0.90"
"34","PF00549.21","ACD902981",340,610,"CoA-ligase","51.6","0.4","2e-17","9.7e-14","2","152","174","298","173","299","0.87"
"35","PF00549.21","PWW830971",341,610,"CoA-ligase","49.9","0.2","6.7e-17","3.2e-13","2","152","174","298","173","299","0.89"
"36","PF00549.21","ADU969881",342,616,"CoA-ligase","39.6","0.0","4.7e-14","4.5e-10","2","152","176","299","175","300","0.91"
"37","PF00549.21","ACO045021",343,616,"CoA-ligase","45.1","0.0","1.5e-15","9.6e-12","2","152","176","299","175","300","0.93"
"38","PF00549.21","ADY737711",344,616,"CoA-ligase","41.6","0.1","1.1e-14","1.1e-10","2","152","176","299","175","300","0.91"
"39","PF00549.21","ACN986451",345,616,"CoA-ligase","35.1","0.0","1.2e-12","1.1e-08","2","149","176","296","175","299","0.84"
"40","PF00549.21","SDC361651",346,619,"CoA-ligase","35.6","0.0","8.4e-13","8.1e-09","2","150","175","296","174","299","0.85"
"41","PF00549.21","ABB438501",347,604,"CoA-ligase","43.6","0.2","2.9e-15","2.8e-11","2","149","173","293","172","296","0.89"
"42","PF00549.21","ADC888351",382,341,"CoA-ligase","39.4","0.1","1.1e-13","5.4e-10","1","146","160","281","160","287","0.87"
"43","PF00549.21","AHE963921",383,339,"CoA-ligase","39.0","0.1","1.1e-13","7.2e-10","1","143","160","278","160","287","0.85"
"44","PF00549.21","SNZ151891",384,344,"CoA-ligase","40.0","0.1","7.4e-14","3.5e-10","1","148","165","288","164","293","0.87"
"45","PF00549.21","ADO446081",385,344,"CoA-ligase","40.0","0.0","7.4e-14","3.6e-10","1","148","165","288","165","293","0.87"
"46","PF00549.21","SHK149691",386,338,"CoA-ligase","37.4","0.1","4.5e-13","2.1e-09","1","146","160","281","160","287","0.86"
"47","PF00549.21","WP1649307821",387,348,"CoA-ligase","37.8","0.1","3.5e-13","1.7e-09","1","143","167","285","167","294","0.87"
"48","PF00549.21","RLJ704711",388,347,"CoA-ligase","35.6","0.1","1.2e-12","7.7e-09","2","143","168","285","165","293","0.83"
"49","PF00549.21","AGH938691",389,329,"CoA-ligase","42.4","0.1","6.4e-15","6.2e-11","2","145","161","280","157","287","0.86"
"50","PF00549.21","AKS239201",390,328,"CoA-ligase","33.0","0.0","7.8e-12","5e-08","2","151","163","285","159","287","0.89"
"51","PF00549.21","ACB403891",391,292,"CoA-ligase","41.9","0.1","1.9e-14","9.3e-11","1","151","153","273","153","275","0.91"
"52","PF00549.21","BAJ508921",392,291,"CoA-ligase","59.7","0.1","6.2e-20","3e-16","1","151","152","272","152","274","0.95"
"53","PF00549.21","ACN982811",393,293,"CoA-ligase","73.4","0.2","3.8e-24","1.8e-20","1","153","153","274","153","274","0.96"
"54","PF02629.21","ALA571271",333,606,"CoA_binding_domain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","PF02629.21","SLM479721",334,606,"CoA_binding_domain","22.6","0.0","2.2e-08","0.00014","1","96","6","113","6","113","0.82"
"56","PF02629.21","CUQ652031",336,606,"CoA_binding_domain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","PF02629.21","SPP635481",337,606,"CoA_binding_domain","25.0","0.1","3.8e-09","2.4e-05","2","96","7","113","6","113","0.87"
"58","PF02629.21","WP0109327661",338,610,"CoA_binding_domain","25.6","0.0","3.4e-09","1.6e-05","2","96","7","113","6","113","0.84"
"59","PF02629.21","MWV542811",339,610,"CoA_binding_domain","30.5","0.1","7.1e-11","4.5e-07","1","96","6","113","6","113","0.91"
"60","PF02629.21","ACD902981",340,610,"CoA_binding_domain","27.9","0.0","6.3e-10","3e-06","3","96","8","113","6","113","0.81"
"61","PF02629.21","PWW830971",341,610,"CoA_binding_domain","22.5","0.2","3e-08","0.00014","17","96","24","113","6","113","0.72"
"62","PF02629.21","ADC888351",382,341,"CoA_binding_domain","78.8","0.5","8.2e-26","3.9e-22","2","96","9","103","8","103","0.96"
"63","PF02629.21","AHE963921",383,339,"CoA_binding_domain","78.2","1.4","9.7e-26","6.2e-22","1","96","8","103","8","103","0.96"
"64","PF02629.21","SNZ151891",384,344,"CoA_binding_domain","82.7","2.4","4.9e-27","2.4e-23","2","96","14","108","13","108","0.95"
"65","PF02629.21","ADO446081",385,344,"CoA_binding_domain","80.6","1.4","2.3e-26","1.1e-22","2","96","14","108","13","108","0.95"
"66","PF02629.21","SHK149691",386,338,"CoA_binding_domain","80.5","0.5","2.5e-26","1.2e-22","1","96","8","103","8","103","0.96"
"67","PF02629.21","WP1649307821",387,348,"CoA_binding_domain","75.1","1.4","1.2e-24","5.6e-21","2","96","14","110","13","110","0.94"
"68","PF02629.21","RLJ704711",388,347,"CoA_binding_domain","77.8","1.3","1.2e-25","8e-22","2","96","14","110","13","110","0.92"
"69","PF02629.21","AGH938691",389,329,"CoA_binding_domain","69.8","0.5","2.8e-23","2.6e-19","4","96","11","103","8","103","0.92"
"70","PF02629.21","AKS239201",390,328,"CoA_binding_domain","59.0","0.6","9.1e-20","5.8e-16","1","96","8","106","8","106","0.87"
"71","PF02629.21","ACB403891",391,292,"CoA_binding_domain","104.4","1.5","8.5e-34","4.1e-30","3","96","8","99","7","99","0.98"
"72","PF02629.21","BAJ508921",392,291,"CoA_binding_domain","97.4","0.4","1.3e-31","6.2e-28","2","96","7","100","6","100","0.98"
"73","PF02629.21","ACN982811",393,293,"CoA_binding_domain","105.1","2.0","5.4e-34","2.6e-30","1","96","6","99","6","99","0.99"
"74","PF13607.8","WP0109327661",338,610,"Succinyl-CoA_ligase_like_flavodoxin_domain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","PF13607.8","ACD902981",340,610,"Succinyl-CoA_ligase_like_flavodoxin_domain","27.8","0.0","3.9e-10","1.9e-06","2","134","168","310","167","314","0.83"
"76","PF13607.8","PWW830971",341,610,"Succinyl-CoA_ligase_like_flavodoxin_domain","28.8","0.0","2e-10","9.5e-07","1","134","167","310","167","314","0.84"
"77","PF13607.8","ACO045021",343,616,"Succinyl-CoA_ligase_like_flavodoxin_domain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","PF13607.8","ADC888351",382,341,"Succinyl-CoA_ligase_like_flavodoxin_domain","28.9","0.0","1.8e-10","8.8e-07","2","107","155","268","154","306","0.80"
"79","PF13607.8","AHE963921",383,339,"Succinyl-CoA_ligase_like_flavodoxin_domain","29.2","0.0","1.1e-10","6.9e-07","1","107","154","268","154","307","0.78"
"80","PF13607.8","SNZ151891",384,344,"Succinyl-CoA_ligase_like_flavodoxin_domain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","PF13607.8","ADO446081",385,344,"Succinyl-CoA_ligase_like_flavodoxin_domain","27.6","0.0","4.7e-10","2.3e-06","2","107","160","273","159","302","0.84"
"82","PF13607.8","SHK149691",386,338,"Succinyl-CoA_ligase_like_flavodoxin_domain","26.7","0.0","8.5e-10","4.1e-06","1","107","154","268","154","306","0.80"
"83","PF13607.8","WP1649307821",387,348,"Succinyl-CoA_ligase_like_flavodoxin_domain","28.3","0.0","2.7e-10","1.3e-06","2","107","162","275","161","313","0.81"
"84","PF13607.8","AKS239201",390,328,"Succinyl-CoA_ligase_like_flavodoxin_domain","29.1","0.0","1.2e-10","7.5e-07","2","96","157","254","156","305","0.86"
"85","PF13607.8","ACB403891",391,292,"Succinyl-CoA_ligase_like_flavodoxin_domain","42.4","0.0","1.3e-14","6.1e-11","1","128","147","280","147","288","0.83"
"86","PF13607.8","BAJ508921",392,291,"Succinyl-CoA_ligase_like_flavodoxin_domain","51.4","0.0","2e-17","9.8e-14","2","133","147","284","146","289","0.89"
"87","PF13607.8","ACN982811",393,293,"Succinyl-CoA_ligase_like_flavodoxin_domain","47.9","0.0","2.4e-16","1.2e-12","1","127","147","278","147","287","0.79"
